Alabama	Jefferson	2013	12			12.06563496774193	0.012098838709677423	0.7503113064516131	0.2110068870967743
Alabama	Jefferson	2014	01			16.352840833333335	0.01656316666666667	0.8061868333333333	0.24459600000000004
Alabama	Jefferson	2014	02			10.179750909090911	0.018378818181818177	1.5941636818181812	0.24303959090909083
Alabama	Jefferson	2014	03			10.785009964285717	0.021016142857142848	0.7798023750000002	0.23960858928571424
Alabama	Jefferson	2014	04			7.961484099999993	0.027137066666666643	0.9015014166666669	0.1946521333333332
Alabama	Jefferson	2014	05			9.13632706451613	0.031749967741935455	0.9319047580645154	0.19753391935483872
Alabama	Jefferson	2014	06			8.13969703333333	0.025169533333333365	1.2722006166666675	0.17477160000000017
Alabama	Jefferson	2014	07			7.921691679999999	0.027816920000000002	0.9107605800000005	0.17442339999999998
Alabama	Jefferson	2014	08			9.694611451612916	0.02716348387096775	2.238450629032258	0.20966982258064507
Alabama	Jefferson	2014	09			8.535685433333336	0.02385693333333331	1.5269910833333333	0.17288303333333335
Alabama	Jefferson	2014	10			10.159007161290317	0.023271483870967738	0.9218952580645157	0.22654404838709669
Alabama	Jefferson	2014	11			9.89089656666666	0.023659666666666673	1.2247763833333336	0.20423121666666672
Alabama	Jefferson	2014	12			10.43260948648649	0.016604594594594593	0.8721436216216221	0.2612089324324324
Alabama	Jefferson	2015	01			13.916667	0.014167	1.4666665	0.234706
Alabama	Jefferson	2015	03			8.370381500000002	0.025824928571428613	1.242528571428571	0.20555658928571424
Alabama	Jefferson	2015	04			8.089137800000005	0.026995766666666643	0.5450062000000002	0.19973244999999992
Alabama	Jefferson	2015	05			10.540388428571434	0.028974749999999997	2.109293660714285	0.22137539285714308
Alabama	Jefferson	2015	06			8.354786931034486	0.027572275862068965	0.992772068965517	0.20022031034482757
Alabama	Jefferson	2015	07			8.945275129032257	0.02536819354838708	0.9514118064516129	0.24857785483870973
Alabama	Jefferson	2015	08			8.007253838709678	0.02695619354838709	1.143808451612903	0.19834688709677428
Alabama	Jefferson	2015	09			9.54360136666667	0.02286093333333332	1.1541858333333337	0.2279062499999999
Alabama	Jefferson	2015	10			9.981417677419351	0.0198991612903226	0.7504496129032258	0.2500735645161291
Alabama	Jefferson	2015	11			9.08001866666667	0.01921113333333334	0.6950457833333332	0.23183025
Alabama	Jefferson	2015	12			9.72683661290324	0.017447451612903238	0.6025073064516131	0.22328379032258075
Alabama	Jefferson	2016	01			10.361527193548381	0.020380387096774224	0.9814191774193549	0.23996680645161267
Alabama	Jefferson	2016	02			9.568943344827586	0.0267965172413793	0.8281878275862067	0.2075001551724138
Alabama	Jefferson	2016	03			9.165883178571418	0.030575999999999992	0.7734358392857141	0.1850496428571429
Alabama	Jefferson	2016	04			9.54927740000001	0.032030599999999985	0.7637849666666666	0.19593986666666682
Alabama	Jefferson	2016	05			8.947624354838707	0.032189580645161295	0.8200426129032259	0.21617887096774194
Alaska	Fairbanks North Star 	2014	07			2.637152645161289	0.01259232258064515	2.9263244677419356	0.2081339032258063
Alaska	Fairbanks North Star 	2014	08			3.300742064516131	0.012367387096774195	2.471083516129033	0.22380643548387086
Alaska	Fairbanks North Star 	2014	09			11.631718892857139	0.011001428571428573	3.207557482142858	0.34415717857142875
Alaska	Fairbanks North Star 	2014	10			10.705534178571437	0.01091378571428571	3.9850506607142826	0.42257055357142886
Alaska	Fairbanks North Star 	2014	11			20.889223899999998	0.007502100000000006	12.79858981666667	0.8731697666666659
Alaska	Fairbanks North Star 	2014	12			20.98963487096777	0.007497967741935482	10.085604096774203	0.6603494354838706
Alaska	Fairbanks North Star 	2015	01			30.427333086956498	0.00424917391304348	14.071971826086951	0.861853565217391
Alaska	Fairbanks North Star 	2015	02			27.346648000000002	0.006508541666666659	13.976960083333326	0.8327098333333334
Alaska	Fairbanks North Star 	2015	03			18.22865044444443	0.013039444444444447	6.6207121944444465	0.44874127777777784
Alaska	Fairbanks North Star 	2015	04			5.464048571428572	0.026707642857142867	5.345422482142858	0.25269478571428555
Alaska	Fairbanks North Star 	2015	05			4.939623612903225	0.02960216129032256	6.552300629032257	0.2430835322580645
Alaska	Fairbanks North Star 	2015	06			3.768115034482762	0.024194827586206915	1.858655758620689	0.3175433620689652
Alaska	Fairbanks North Star 	2015	07			3.618697033333334	0.015829833333333335	3.487985299999999	0.36736270000000043
Alaska	Fairbanks North Star 	2015	08			2.8056207419354853	0.013607806451612919	2.890684709677418	0.17040588709677415
Alaska	Fairbanks North Star 	2015	09			5.503192206896555	0.01007686206896552	2.4386294137931044	0.23983612068965535
Alaska	Fairbanks North Star 	2015	10			10.58651819354839	0.006714580645161289	4.073119580645164	0.37458114516129043
Alaska	Fairbanks North Star 	2015	11			16.319010809523803	0.007252857142857142	8.322523428571433	0.513121880952381
Alaska	Fairbanks North Star 	2015	12			23.23907990322581	0.0037130967741935456	11.221177741935486	0.6452354838709674
Arizona	Maricopa	2000	01			62.018567177419314	0.01785417741935483	4.773079314516123	1.6380195967741928
Arizona	Maricopa	2000	02			45.036649443478304	0.0219763130434783	3.147528147826087	1.1378102869565219
Arizona	Maricopa	2000	03			29.626570803278707	0.023549262295081978	3.5346377868852437	0.8133357377049185
Arizona	Maricopa	2000	04			28.90575032692308	0.028446461538461525	1.5487232211538462	0.9682749615384617
Arizona	Maricopa	2000	05			2.8721582962962953	0.031542111111111125	1.585462333333333	0.7758598518518525
Arizona	Maricopa	2000	06			26.077221066666667	0.0280074666666667	0.9881114833333337	0.49214205000000005
