StateCode,State,County,Year,Month,NO2 Mean,O3 Mean,SO2,CO
AZ,Arizona,Maricopa,2002,1,34.2374931,0.010452935,3.623799202,1.29883975
AZ,Arizona,Maricopa,2002,2,33.04696018,0.016736782,3.152767755,1.227328455
AZ,Arizona,Maricopa,2002,3,25.52647586,0.024047107,2.336931384,0.698472348
AZ,Arizona,Maricopa,2002,4,24.44402636,0.024980164,2.403997639,0.721137049
AZ,Arizona,Maricopa,2002,5,26.64034857,0.0301459,3.713393567,0.863568
AZ,Arizona,Maricopa,2002,6,26.4893482,0.0290986,2.22096905,0.675521617
AZ,Arizona,Maricopa,2002,7,19.794229,0.029392471,1.178054176,0.5072725
AZ,Arizona,Maricopa,2002,8,21.551593,0.027550613,1.887657484,0.547334129
AZ,Arizona,Maricopa,2002,9,22.92967862,0.023963633,1.238545483,0.544502858
AZ,Arizona,Maricopa,2002,10,31.06339708,0.016774355,1.936371347,0.961793476
AZ,Arizona,Maricopa,2002,11,31.33382358,0.01468855,2.670216092,1.07142335
AZ,Arizona,Maricopa,2002,12,29.37230517,0.009609404,2.277882635,1.118125894
AZ,Arizona,Maricopa,2003,1,33.46044908,0.008696355,3.428363427,1.279693637
AZ,Arizona,Maricopa,2003,2,27.89869451,0.013430377,2.566760425,0.743091679
AZ,Arizona,Maricopa,2003,3,27.02313993,0.020793879,1.126704026,0.570897603
AZ,Arizona,Maricopa,2003,4,25.9421668,0.028720623,2.00078223,0.389579016
AZ,Arizona,Maricopa,2003,5,26.18765826,0.033413516,1.80534321,0.424493952
AZ,Arizona,Maricopa,2003,6,20.30529287,0.029901167,3.381535833,0.409031717
AZ,Arizona,Maricopa,2003,7,17.2379049,0.037396419,1.841617645,0.407616919
AZ,Arizona,Maricopa,2003,10,33.08817527,0.015726467,1.933089567,0.913943333
AZ,Arizona,Maricopa,2003,11,29.68320253,0.012585362,2.282546074,0.919479691
AZ,Arizona,Maricopa,2003,12,30.79380685,0.011740129,2.22954971,1.0389935
AZ,Arizona,Maricopa,2004,1,28.27842606,0.012936129,2.101683145,0.943198411
AZ,Arizona,Maricopa,2004,2,27.94669623,0.015830626,2.478041865,0.786934991
AZ,Arizona,Maricopa,2004,3,24.98371224,0.022388039,1.753641657,0.587171686
AZ,Arizona,Maricopa,2004,4,23.44119674,0.031890372,0.928976407,0.454407581
AZ,Arizona,Maricopa,2004,5,19.86685148,0.030259452,0.686652694,0.349719323
AZ,Arizona,Maricopa,2004,6,20.30007317,0.026896367,1.108249483,0.326902183
AZ,Arizona,Maricopa,2004,7,17.49095303,0.030505567,2.063744617,0.197034983
AZ,Arizona,Maricopa,2004,8,19.55055384,0.02729029,2.701850871,0.262416839
AZ,Arizona,Maricopa,2004,9,21.41328792,0.025283057,2.717420679,0.475833377
AZ,Arizona,Maricopa,2004,10,22.53968666,0.0193385,2.181157516,0.545109508
AZ,Arizona,Maricopa,2004,11,22.69083563,0.012677237,1.465749576,0.647214788
AZ,Arizona,Maricopa,2004,12,26.1019238,0.010491267,2.16046764,0.95347696
AZ,Arizona,Maricopa,2005,1,25.00111384,0.009713258,1.245862532,0.73827721
AZ,Arizona,Maricopa,2005,2,21.58934755,0.016305018,0.850004687,0.483706116
AZ,Arizona,Maricopa,2005,3,21.37247534,0.024532733,1.559788611,0.574129606
AZ,Arizona,Maricopa,2005,4,24.23418988,0.030331519,2.301239472,0.696380149
AZ,Arizona,Maricopa,2005,5,21.7495959,0.029406711,2.862176161,0.655268078
AZ,Arizona,Maricopa,2005,6,20.03748073,0.033138311,3.046228689,0.476429078
AZ,Arizona,Maricopa,2005,7,17.35366338,0.033407226,2.120550204,0.469419183
AZ,Arizona,Maricopa,2005,8,17.32143874,0.030165731,1.538778038,0.394414102
AZ,Arizona,Maricopa,2005,9,22.85324103,0.025053067,1.889042675,0.574802304
AZ,Arizona,Maricopa,2005,10,25.11221502,0.018673375,2.820261904,0.727586263
AZ,Arizona,Maricopa,2005,11,30.07152182,0.012970159,2.91307567,1.170261017
AZ,Arizona,Maricopa,2005,12,36.5041003,0.007024628,2.803703866,1.47471007
AZ,Arizona,Maricopa,2006,1,31.51380613,0.013383527,3.400072817,1.005994538
AZ,Arizona,Maricopa,2006,2,31.84902237,0.016206357,2.87995425,0.867575696
